device_name,neighbor_ip,neighbor_as,state,snapshot_id,created_at
R3,1.1.1.1,65000,0,2026-03-05_1615,
R4,2.2.2.2,65001,0,2026-03-02_2110,
R3,1.1.1.1,65000,0,2026-03-02_2038,
R4,2.2.2.2,65001,0,2026-03-02_1717,
R4,2.2.2.2,65001,0,2026-03-05_1559,
SW1,2.2.2.2,65001,0,2026-03-30_1923,
SW1,1.1.1.1,65000,0,2026-03-30_1923,
SW2,1.1.1.1,65000,0,2026-03-29_2127,
R4,2.2.2.2,65001,0,2026-03-02_2246,
R4,2.2.2.2,65001,0,2026-03-30_1917,
R3,1.1.1.1,65000,0,2026-03-29_2224,
R4,2.2.2.2,65001,0,2026-03-03_2009,
SW1,1.1.1.1,65000,0,2026-03-29_2139,
SW1,2.2.2.2,65001,0,2026-03-29_2139,
R3,1.1.1.1,65000,0,2026-03-02_2133,
R3,2.2.2.2,65001,0,2026-03-30_2210,
R3,1.1.1.1,65000,0,2026-03-30_2210,
R3,1.1.1.1,65000,0,2026-03-02_1829,
R3,1.1.1.1,65000,0,2026-03-02_2246,
R3,1.1.1.1,65000,0,2026-03-16_1440,
R3,2.2.2.2,65001,0,2026-03-30_1917,
R3,1.1.1.1,65000,0,2026-03-30_1917,
R4,1.1.1.1,65000,0,2026-03-29_2224,
R4,2.2.2.2,65001,0,2026-03-29_2224,
R3,1.1.1.1,65000,0,2026-03-03_2009,
R3,2.2.2.2,65001,0,2026-03-29_2250,
R3,1.1.1.1,65000,0,2026-03-29_2250,
R4,2.2.2.2,65001,0,2026-03-02_2133,
R4,2.2.2.2,65001,0,2026-03-16_1440,
R4,2.2.2.2,65001,0,2026-03-29_2250,
R4,2.2.2.2,65001,0,2026-03-30_2210,
R4,2.2.2.2,65001,0,2026-03-02_1829,
R4,2.2.2.2,65001,Idle,2026-03-21_1840,
R3,1.1.1.1,65000,0,2026-03-03_1944,
R2,4.4.4.4,65001,Idle,2026-03-19_2026,
R2,10.1.12.1,65000,0,2026-03-19_2026,
R3,1.1.1.1,65000,0,2026-03-04_1109,
R4,2.2.2.2,65001,0,2026-03-16_1414,
SW2,1.1.1.1,65000,0,2026-03-29_2139,
SW2,2.2.2.2,65001,0,2026-03-29_2139,
R3,1.1.1.1,65000,0,2026-03-21_1840,
R4,2.2.2.2,65001,0,2026-03-03_1944,
R3,1.1.1.1,65000,0,2026-03-16_1414,
R4,2.2.2.2,65001,0,2026-03-04_1109,
R3,1.1.1.1,65000,0,2026-03-02_2127,
R4,2.2.2.2,65001,Idle,2026-03-21_1850,
SW2,1.1.1.1,65000,0,2026-03-29_2224,
SW2,2.2.2.2,65001,0,2026-03-29_2250,
SW2,1.1.1.1,65000,0,2026-03-29_2250,
R3,1.1.1.1,65000,0,2026-03-21_1850,
R4,2.2.2.2,65001,0,2026-03-02_2127,
R4,2.2.2.2,65001,0,2026-03-04_1124,
R4,2.2.2.2,65001,0,2026-03-29_2304,
R3,1.1.1.1,65000,0,2026-03-04_1124,
R3,2.2.2.2,65001,0,2026-03-29_2304,
R3,1.1.1.1,65000,0,2026-03-29_2304,
